Name,doc_lrml_f_score,random_lrml_f_score,doc_lrml_f_score.1,random_lrml_f_score.1,doc_lrml_f_score_test,random_lrml_f_score_test,doc_lrml_f_score_test.1,random_lrml_f_score_test.1,doc_bleu_test,random_bleu_test,doc_bleu_test.1,random_bleu_test.1,doc_Runtime,random_Runtime,doc_Runtime.1,random_Runtime.1,doc_lrml_precision_test,random_lrml_precision_test,doc_lrml_precision_test.1,random_lrml_precision_test.1,doc_lrml_recall_test,random_lrml_recall_test,doc_lrml_recall_test.1,random_lrml_recall_test.1,doc_bleu_test_no_sep,random_bleu_test_no_sep,doc_bleu_test_no_sep.1,random_bleu_test_no_sep.1,doc_bleu_test_oracle,random_bleu_test_oracle,doc_bleu_test_oracle.1,random_bleu_test_oracle.1,doc_lrml_f_score_test_no_sep,random_lrml_f_score_test_no_sep,doc_lrml_f_score_test_no_sep.1,random_lrml_f_score_test_no_sep.1,doc_lrml_f_score_test_oracle,random_lrml_f_score_test_oracle,doc_lrml_f_score_test_oracle.1,random_lrml_f_score_test_oracle.1,doc_lrml_precision_test_no_sep,random_lrml_precision_test_no_sep,doc_lrml_precision_test_no_sep.1,random_lrml_precision_test_no_sep.1,doc_lrml_precision_test_oracle,random_lrml_precision_test_oracle,doc_lrml_precision_test_oracle.1,random_lrml_precision_test_oracle.1,doc_lrml_recall_test_no_sep,random_lrml_recall_test_no_sep,doc_lrml_recall_test_no_sep.1,random_lrml_recall_test_no_sep.1,doc_lrml_recall_test_oracle,random_lrml_recall_test_oracle,doc_lrml_recall_test_oracle.1,random_lrml_recall_test_oracle.1
,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std
t5-amr_0_ir-entities_ir,0,0,0,0,0,0,0,0,45.3,62.9,1.8,0.8,1091.3,596.7,843.2,82.4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_0_ir-entities_train-pred,70,69,1.1,0.4,55.5,68.2,0.4,0.3,62.7,70.5,1.2,0.4,2606.7,2385.7,2095.6,2539.6,54,70.9,0.3,0.5,57,65.6,0.9,0.6,33.8,22.1,4.3,0.9,78.3,77.4,0.9,1.8,38.6,36.4,0.4,0.8,75.6,80.4,1,0.2,48.3,51,1.6,1.1,75.2,83.5,1.6,0.7,32.2,28.3,1.3,0.8,75.9,77.5,0.3,0.7
t5-amr_0_ir-entities_train-oracle,69.7,69,0.5,0.7,55.1,68.7,0.6,1.3,61.8,70.6,6.9,1.3,2329.3,2038,853.3,1477.3,53.7,72,0.7,1.4,56.5,65.6,1,1.4,30.8,21.3,3.6,2.8,76.2,78.8,2.3,0.7,35.7,34.5,1,0.6,77,81.8,1.4,0.5,46.5,48.2,0.8,0.3,78.1,85.3,2.3,1,29,26.9,1.2,0.7,76,78.7,0.9,0.2
t5-amr_0_ir-entities_train-oracle-pred,71.1,69.8,0.9,0.6,55,69.7,0.4,0.4,63.7,73.7,2.9,0.9,3285.7,2995.7,642.7,1279.3,52.9,71.3,0.3,1,57.2,68.2,1.3,0.9,35.3,29.1,0.7,5.6,78.1,80.2,0.7,2.1,40.4,38.5,1.2,2,77,82.2,1.3,0.3,49.8,50.4,1.8,0.4,77.6,84.1,0.6,0.9,34,31.2,1.1,2.5,76.5,80.3,2,1.3
t5-amr_ir_0_ir-entities_train-pred,70.6,69.9,0.9,0.2,55.6,69.6,1.1,1.2,65.5,72.9,1.8,2.2,2326.3,3995.7,918.4,1436.5,53.9,71.2,1.7,1,57.6,68.1,1.3,1.4,53.6,57.3,3.9,2.2,77.2,78.3,4.5,2.4,51.9,58.1,1,0.8,73.9,79.2,1,1.3,56.2,66.1,1.1,0.6,73.2,81.4,0.5,1,48.1,51.8,1.2,1,74.7,77.1,1.5,1.9
t5-amr_ir_0_ir-entities_train-oracle,71.6,69.7,0.8,0.9,55,68.9,1.3,0.7,63,73.1,2.3,1.3,2166.3,1285.3,1487.1,276.6,53.9,70.8,1.9,1.1,56.2,67.1,0.8,1.4,45.9,57.1,2.2,2.6,77.5,79.9,2.1,0.4,48.2,55.6,1.4,0.6,76,82.3,2.7,0.5,56.5,63.3,3,0.6,76.1,84.7,4,1.3,42,49.6,1.4,0.8,75.9,80,1.4,0.4
t5-amr_ir_0_ir-entities_train-oracle-pred,71.9,70.5,0.8,0.6,55.1,71,1.4,0.3,66.7,74.8,1.6,0.8,1895.7,3524,156.7,284.6,52.9,72.1,2.5,0.9,57.6,69.9,0.1,0.3,58.6,60.8,1.3,2,77.1,81.1,0.6,2.8,51.5,59.4,0.5,0.6,74.9,82,2.2,1.3,55.2,66.8,1.9,0.9,73.8,83.6,3.4,1,48.3,53.5,0.7,1.5,76,80.4,1.1,1.5
t5-amr_1_ir-exp_ir,52.2,53.7,0.3,1,43.3,48.9,1.3,1.4,40.2,49.7,2,0.7,3313.7,2092,785.4,876.9,40.5,49.6,1.3,2.2,46.4,48.1,1.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_1_ir-exp_train-pred,66.7,67.6,0.4,0.6,56.4,65,1.8,0.7,63.6,68.8,1.9,1.6,3039.7,1337,1054.1,309.6,55,66.6,1.6,1.2,57.8,63.4,2.1,0.3,0,0,0,0,86.8,88.7,7.3,0.6,0,0,0,0,92,94.9,2.2,0.2,0,0,0,0,92,97.1,2.6,0.3,0,0,0,0,92,92.9,1.8,0.1
t5-amr_1_ir-exp_train-oracle,65.9,66.6,0.1,0.6,56,64.4,1.1,1,64.9,69,1.4,1.5,4964.3,1299.7,3151.3,321.1,53.2,65.3,1.3,1.6,59,63.5,1,0.7,0,0,0,0,95.6,94.4,1.7,1.3,0,1,0,1.4,97.6,97.5,0.6,0.3,0,1.6,0,2.3,98.3,97.9,0.2,0.2,0,0.7,0,1,96.8,97.1,1,0.6
t5-amr_1_ir-exp_train-oracle-pred,67.2,67.7,0.4,0.7,56.2,65.1,1.3,1.2,64,70.4,2.6,1.3,3236.7,4007,1659,1428.1,55.1,66.3,1.1,1.8,57.4,64,1.6,0.6,0,0,0,0,89.7,93.1,8.3,0.5,0,0.3,0,0.3,97,96.9,0.4,0.3,0,0.4,0,0.4,97.8,97.9,0.6,0.8,0,0.2,0,0.2,96.2,95.9,0.4,0.4
t5-amr_ir_1_ir-exp_train-pred,69.7,70.2,0.4,0.3,57.1,66.9,1.4,1.2,66,71.5,0.4,2.7,2504,3629.3,1816.6,228.9,55.1,69.2,1,0.5,59.3,64.8,1.8,1.9,59.7,64.4,3.1,1.5,72.7,82.3,3.2,2.3,53.2,62.1,0.8,0.8,72.5,85.3,2.1,1.5,55.3,67.6,0.1,1.1,73.9,86.8,1.3,1.6,51.3,57.5,1.5,1.6,71.3,83.9,2.8,1.6
t5-amr_ir_1_ir-exp_train-oracle,65.9,66.7,0.1,0.5,56,64.5,0.8,1,65.5,70.7,1.2,1,3051.3,4183.7,2030.9,2662.4,53.1,65,0.7,1.6,59.1,64,0.9,0.5,22.7,18.6,3.4,0.1,95.2,94.2,0.8,0.5,26.6,32.1,0,1.5,97.5,97.6,0.3,0.1,38,48,1.1,2.8,98.2,97.9,0.4,0.3,20.5,24.1,0.3,1,96.7,97.4,0.6,0.2
t5-amr_ir_1_ir-exp_train-oracle-pred,69.1,69.9,0.2,0.4,56.3,66.4,0.7,1.1,65.2,71.9,2.4,2.4,3226.3,5787.3,986.6,4500.2,54,66.7,1.3,0.8,58.7,66,0.2,1.4,61.6,65.7,2.2,1.2,85.6,91.6,7.8,0.6,51.8,62.9,1.9,1.1,91.1,94.8,1.1,0.9,54.2,68.1,2.9,2.1,90.9,95.1,0.9,1.1,49.7,58.4,1.2,0.4,91.4,94.5,1.4,0.7
